code,name,price,cjb30,b30v100,veab,precip,m5,m10,m20,mainflow,jumbo,small,vol,lv,sig,phase,mode,matching,grade,greason,score
600391,航发科技,34.47,-22.8,1.28,8.9,3.25,51650922,20040835,32233818,5670376,-174114,-8913107,缩量,低,情绪退潮,进场,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,73.1
600399,抚顺特钢,4.38,-53.4,0.98,9.0,-0.76,-5197471,27472445,14166517,-1767206,-4785122,-417838,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.3
600405,动力源,4.83,38.6,0.7,-17.9,-6.31,-16432999,-27004898,-23077130,3935059,1958821,-10480419,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-2.1
600408,安泰集团,3.11,-8.9,0.72,92.9,-3.87,-35992026,21574664,15078934,-11181946,-10251034,11142472,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.3
600415,小商品城,12.39,-48.6,1.76,-11.0,0.22,6766200,298191811,-214138445,-4709919,-16546269,-17935861,缩量,低,情绪退潮,观望,趋势转多型,,D,回避：资金观望,0.1
600418,江淮汽车,20.9,-57.6,1.61,-41.5,-1.92,-120315802,-721680896,-1461579431,-54855313,-34021526,57865969,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.6
600419,天润乳业,8.78,36.0,0.69,-32.4,-2.81,-7592968,6722826,4409388,1149968,1871810,-4798385,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.9
600403,大有能源,7.69,126.0,4.32,37.7,1.08,56028759,242646342,314438552,123344366,121651206,-70604789,放量,低,游资情绪,抢筹,均衡流入型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,28.4
600420,国药现代,8.51,-51.6,0.73,-2.9,-4.67,-13475947,-18913222,8668322,-4934873,-4941001,-1130867,缩量,低,情绪退潮,观望,长线吸筹型,,D,回避：资金观望,-1.6
600425,青松建化,3.77,115.9,0.45,9.2,2.08,6828308,-3892720,10006340,-827237,-1082842,8009001,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,8.7
600422,昆药集团,8.58,-57.3,1.13,-48.1,-3.52,-9900075,-14120232,-16581890,-1329011,-1335538,116740,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.2
600426,华鲁恒升,21.45,-2.6,1.2,-2.2,-2.38,-112786598,39139412,-217404658,6297231,-29845499,-48501761,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.8
600428,中远海特,11.5,21.0,0.82,-22.4,-9.37,-267606068,-241742641,-382738787,32292118,-3765380,-60933905,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-3.1
600429,三元股份,4.66,21.3,0.28,-17.5,0.6,2002556,5922179,1459284,-1194149,17092,-809372,缩量,低,情绪退潮,观望,趋势转多型,,D,回避：资金观望,0.2
600410,华胜天成,13.82,-61.8,0.33,-60.6,0.82,19920806,-332909694,-498802258,4422471,9541412,12137120,缩量,低,情绪退潮,进场,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,72.3
600433,冠豪高新,3.4,-37.1,0.93,-14.9,0.05,301942,2797625,-10846037,-6995485,-6096016,2815616,缩量,低,情绪退潮,观望,趋势转多型,,D,回避：资金观望,0.0
600435,北方导航,10.85,-32.5,0.92,-24.5,-5.66,-45433628,-72793208,-94395689,9515008,12319634,524180,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.9
600444,国机通用,14.68,21.6,0.65,93.2,-4.24,-8481763,-9414704,-11896032,546426,-1217105,-1216706,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.4
600438,通威股份,11.58,-35.6,1.18,-60.8,-10.13,-204159722,-237259436,384804589,-54671364,-42399332,62437092,缩量,低,情绪退潮,观望,长线吸筹型,,D,回避：资金观望,-3.4
600436,片仔癀,122.17,-39.1,3.93,-43.5,-0.36,-6912726,-239058270,-418636143,-38500230,-17026916,41018542,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.1
600446,金证股份,11.06,-39.1,1.41,-41.4,-1.71,-15054923,-41308994,-116974144,-1260510,5487634,19365774,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.6
600449,宁夏建材,12.57,34.5,1.51,-43.3,1.15,10956790,14241758,-185632397,-9426444,-3523743,5059190,缩量,低,情绪退潮,观望,趋势转多型,,D,回避：资金观望,0.4
600448,华纺股份,3.04,0.1,0.6,13.7,-2.08,-4499317,-9202311,-9237761,-1918790,-1303580,2987781,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.7
600452,涪陵电力,9.16,-44.6,0.8,-17.7,-0.87,-8001101,-43536933,-150192522,-3925154,-7551455,8658347,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.3
600455,博通股份,25.03,-5.4,0.63,-19.9,-1.21,-1814618,-3393586,281810,638859,692500,-768510,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.4
600456,宝钛股份,27.22,-64.3,1.51,-3.9,-4.95,-39578065,-67430858,-110648024,-9452315,-8027688,5754931,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.7
600461,洪城环境,8.89,-22.1,1.41,-9.0,1.84,8792207,20456631,33980702,-4773650,360943,5097373,缩量,低,情绪退潮,观望,均衡流入型,,D,回避：资金观望,0.6
600459,贵研铂业,20.87,-64.2,5.31,-9.6,-2.15,-54300745,10568825,2424143,-42687215,-41674647,62177106,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.7
600463,空港股份,8.35,-1.6,0.81,-6.4,-3.55,-5296916,-7059190,-10710417,-56762,-1399880,959990,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.2
600460,士兰微,34.16,-44.4,12.9,86.1,-2.35,-558091197,820605610,938632279,-160640962,-158033741,180284909,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.8
600467,好当家,2.41,60.4,0.62,18.5,-2.43,-9192148,-7096410,-25149839,-1584720,-1536532,1256876,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,7.2
600470,六国化工,6.23,7.7,1.1,169.7,3.4,57442401,89623591,45189916,-6258516,-4912491,884294,缩量,低,情绪退潮,观望,趋势转多型,,D,回避：资金观望,1.1
600458,时代新材,11.86,-84.5,3.93,11.8,2.1,18073548,4069813,-37536241,1235388,1975598,-3186410,缩量,低,情绪退潮,进场,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,72.7
600468,百利电气,6.4,64.7,0.28,-42.5,4.05,67932553,38835656,44803975,-22553887,-8377887,27088970,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,9.3
600475,华光环能,14.94,-36.0,1.03,-28.7,-0.51,-3618297,30255339,-22640770,-11183758,-1497849,7169907,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.2
600478,科力远,4.89,-34.9,0.44,-0.5,0.25,1497995,-12930333,-63042551,-10425654,-7962844,4677923,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.1
600479,千金药业,12.21,2395.1,0.63,718.9,2.23,96704539,88125163,90861961,-56440342,-36178584,45476331,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,8.7
600480,凌云股份,8.28,-65.3,1.83,-17.8,-8.01,-31685137,-48660840,-127365119,-2336758,-1858464,596022,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-2.7
600481,双良节能,4.29,-65.8,1.04,-19.8,-0.23,-1944522,-470213,-800377,-9600054,-8656852,6662371,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.1
600469,风神股份,5.39,136.7,0.88,0.9,3.05,9156685,4826769,-24923705,13775842,11570958,-7246201,放量,低,游资情绪,抢筹,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,89.0
600483,福能股份,11.01,-40.0,1.39,16.5,-8.53,-68333015,-105395336,-146995717,-20586795,-10154696,8237964,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-2.8
600486,扬农化工,55.62,10.8,0.78,-9.4,-1.05,-15048792,-43080456,-116775882,-25206292,-14468657,16462226,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.4
600487,亨通光电,67.39,-32.2,2.1,-5.3,0.62,492260475,-3398744705,437904143,-1073822261,-830014013,929966597,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.2
600477,杭萧钢构,2.49,-4.7,0.43,-13.7,0.91,3360209,-8158664,-11597812,1027749,932284,4523993,缩量,低,情绪退潮,进场,资金观望型,,C,谨慎：资金流入未验证业绩,32.3
600482,中国动力,32.87,-38.1,1.16,-38.8,4.82,104873278,236550174,259076991,121170147,112728281,-126921666,缩量,低,情绪退潮,进场,主力建仓型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,73.6
600493,凤竹纺织,6.37,14.2,0.69,-4.5,-3.43,-5672261,-8490377,-19953849,809515,1499747,2082807,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.1
600490,鹏欣资源,7.74,114.5,0.88,11.7,-0.65,-21597627,-3220825,-90297060,-13313392,-15017128,2297356,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,7.8
600495,晋西车轴,4.1,-34.0,0.09,-50.1,0.15,237438,-1908269,-4599495,-1011110,291920,987453,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.0
600489,中金黄金,25.57,76.1,1.11,9.9,-1.78,-241312118,440580106,459039854,-270963669,-195071891,220891905,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,7.4
600497,驰宏锌锗,10.47,-54.1,5.09,-18.6,2.75,224005556,101462274,-445594786,-88303824,-47713122,101043177,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.9
600500,中化国际,5.67,-68.9,11.13,6.6,-4.28,-127384184,-8208789,67926150,1694054,10124721,-43131578,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.4
600502,安徽建工,4.47,51.4,0.12,-16.3,-5.27,-34600181,-18301267,39003231,-12040404,-17997665,-4015139,放量,低,游资情绪,观望,高位分歧型,,D,回避：资金观望,6.2
600501,航天晨光,14.48,-59.0,0.91,-10.6,-5.58,-15750967,-6814460,-43481553,2308534,1979297,-6713112,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.9
600503,华丽家族,2.21,34.5,2.04,7.5,-5.58,-22821675,-31178551,-58910931,7432312,6143900,-9091628,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.9
600496,精工钢构,3.36,20.5,1.11,25.9,1.81,10288564,50474798,51010815,17814682,12045511,-22747258,缩量,低,情绪退潮,进场,均衡流入型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,72.6
600498,烽火通信,42.39,-44.5,1.37,13.7,1.33,308291429,-89724932,640186529,317686902,254235463,-211185954,缩量,低,情绪退潮,吸筹,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,64.4
600507,方大特钢,4.25,-20.8,1.02,8.5,-4.19,-31312480,-31845218,-15662052,-5555165,-10133523,2218548,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.4
600499,科达制造,14.04,-29.2,1.24,-43.4,0.75,14610883,-54682376,-123720714,247446,5017834,-7321662,缩量,低,情绪退潮,进场,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,72.2
600509,天富能源,7.52,-69.0,1.36,-21.9,-8.26,-43393887,-103040452,-158993601,494192,110140,3659042,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-2.8
