code,name,industry
sz002111,威海广泰,国防军工
sz002112,三变科技,电力设备
sz002114,罗平锌电,有色金属
sz002115,三维通信,通信
sz002116,中国海诚,建筑装饰
sz002117,东港股份,轻工制造
sz002119,康强电子,电子
sz002120,韵达股份,交通运输
sz002121,科陆电子,电力设备
sz002123,梦网科技,通信
sz002124,天邦食品,农林牧渔
sz002125,湘潭电化,电力设备
sz002126,银轮股份,汽车
sz002127,南极电商,商贸零售
sz002128,电投能源,煤炭
sz002129,TCL中环,电力设备
sz002130,沃尔核材,电子
sz002131,利欧股份,机械设备
sz002132,恒星科技,机械设备
sz002133,广宇集团,房地产
sz002134,天津普林,电子
sz002135,东南网架,建筑装饰
sz002136,安 纳 达,基础化工
sz002137,实益达,电子
sz002138,顺络电子,电子
sz002139,拓邦股份,电子
sz002140,东华科技,建筑装饰
sz002141,贤丰控股,电子
sz002142,宁波银行,银行
sz002144,宏达高科,纺织服饰
sz002145,钛能化学,基础化工
sz002146,荣盛发展,房地产
sz002148,北纬科技,通信
sz002149,西部材料,有色金属
sz002150,正泰电源,电力设备
sz002151,北斗星通,国防军工
sz002152,广电运通,计算机
sz002153,石基信息,计算机
sz002154,报 喜 鸟,纺织服饰
sz002155,湖南黄金,有色金属
sz002156,通富微电,电子
sz002157,正邦科技,农林牧渔
sz002158,汉钟精机,机械设备
sz002159,三特索道,社会服务
sz002160,常铝股份,有色金属
sz002161,远 望 谷,电子
sz002162,悦心健康,轻工制造
sz002163,海南发展,建筑装饰
sz002164,宁波东力,机械设备
sz002165,红 宝 丽,基础化工
sz002166,莱茵生物,基础化工
sz002167,东方锆业,有色金属
sz002169,智光电气,电力设备
sz002170,芭田股份,基础化工
sz002171,楚江新材,有色金属
sz002172,澳洋健康,医药生物
sz002173,创新医疗,医药生物
sz002174,游族网络,传媒
sz002176,江特电机,电力设备
sz002177,御银股份,商贸零售
sz002178,延华智能,计算机
sz002179,中航光电,国防军工
sz002180,奔图科技,计算机
sz002181,粤 传 媒,传媒
sz002182,宝武镁业,有色金属
sz002183,怡 亚 通,商贸零售
sz002184,海得控制,机械设备
sz002185,华天科技,电子
sz002186,全 聚 德,社会服务
sz002187,广百股份,商贸零售
sz002188,中天服务,房地产
sz002189,中光学,国防军工
sz002190,成飞集成,汽车
sz002191,劲嘉股份,轻工制造
sz002192,融捷股份,有色金属
sz002194,武汉凡谷,通信
sz002195,岩山科技,计算机
sz002196,方正电机,电力设备
sz002197,证通电子,计算机
sz002199,东晶电子,电子
sz002200,交投生态,建筑装饰
sz002201,九鼎新材,建筑材料
sz002202,金风科技,电力设备
sz002203,海亮股份,有色金属
sz002204,大连重工,机械设备
sz002205,国统股份,建筑材料
sz002206,海 利 得,基础化工
sz002208,合肥城建,房地产
sz002209,达 意 隆,机械设备
sz002210,飞马国际,环保
sz002212,天融信,计算机
sz002213,大为股份,电子
sz002214,大立科技,国防军工
sz002215,诺 普 信,农林牧渔
sz002216,三全食品,食品饮料
sz002218,拓日新能,公用事业
sz002219,新里程,医药生物
sz002221,东华能源,石油石化
sz002222,福晶科技,电子
sz002223,鱼跃医疗,医药生物
sz002224,三 力 士,基础化工
sz002225,濮耐股份,建筑材料
sz002226,江南化工,基础化工
sz002228,合兴包装,轻工制造
sz002229,鸿博股份,计算机
sz002230,科大讯飞,计算机
sz002232,启明信息,计算机
sz002233,塔牌集团,建筑材料
sz002234,民和股份,农林牧渔
sz002235,安妮股份,轻工制造
sz002236,大华股份,计算机
sz002237,恒邦股份,有色金属
sz002238,天威视讯,传媒
sz002239,奥特佳,汽车
sz002240,盛新锂能,有色金属
sz002241,歌尔股份,电子
sz002242,九阳股份,家用电器
sz002243,力合科创,社会服务
sz002244,滨江集团,房地产
sz002245,蔚蓝锂芯,电力设备
sz002246,北化股份,基础化工
sz002247,聚力文化,建筑材料
